"Thématiques","Critères","Accueil","Contact","Mentions légales","Accessibilité","Aide"
"1","1","c","c","c","c","c"
"1","2","c","c","c","c","c"
"1","3","nc|L'image Your Europe a une alternative textuelle en anglais et n'est pas pertinente. Suggestion : <img alt=""Your Europe - Nouvelle fenêtre"".../>","nc|L'image Your Europe a une alternative textuelle en anglais et n'est pas pertinente. Suggestion : <img alt=""Your Europe - Nouvelle fenêtre"" .../>","nc|L'image Your Europe a une alternative textuelle en anglais et n'est pas pertinente. Suggestion : <img alt=""Your Europe - Nouvelle fenêtre"" .../>","nc|L'image Your Europe a une alternative textuelle en anglais et n'est pas pertinente. Suggestion : <img alt=""Your Europe - Nouvelle fenêtre"" .../>","nc|L'image Your Europe a une alternative textuelle en anglais et n'est pas pertinente. Suggestion : <img alt=""Your Europe - Nouvelle fenêtre"" .../>"
"1","4","na","na","na","na","na"
"1","5","na","na","na","na","na"
"1","6","na","na","na","na","na"
"1","7","na","na","na","na","na"
"1","8","c","c","c","c","c"
"1","9","na","na","na","na","na"
"2","1","na","na","na","na","na"
"2","2","na","na","na","na","na"
"3","1","c","c","c","c","c"
"3","2","nc|Contraste insuffisant de 3,4:1 sur les texte d'erreur de saisie du formulaire (ex: ""* Merci de saisir tous les champs pour pouvoir afficher l'étape suivante"")","c","c","c","c"
"3","3","c","c","c","c","c"
"4","1","na","na","na","na","na"
"4","2","na","na","na","na","na"
"4","3","na","na","na","na","na"
"4","4","na","na","na","na","na"
"4","5","na","na","na","na","na"
"4","6","na","na","na","na","na"
"4","7","na","na","na","na","na"
"4","8","na","na","na","na","na"
"4","9","na","na","na","na","na"
"4","10","na","na","na","na","na"
"4","11","na","na","na","na","na"
"4","12","na","na","na","na","na"
"4","13","na","na","na","na","na"
"5","1","na","na","na","na","na"
"5","2","na","na","na","na","na"
"5","3","na","na","na","na","na"
"5","4","c","na","na","na","na"
"5","5","na","na","na","na","na"
"5","6","c","na","na","na","na"
"5","7","c","na","c","c","c"
"5","8","na","na","na","na","na"
"6","1","c","c","c","c","c"
"6","2","c","c","c","c","c"
"7","1","nc|Le bouton ""Commencer"" est accompagné d'un bouton radio qui est un élément superflu et qui n'a pas le bon rôle. Le bouton commencer agit comme une ""bascule"" qui fait alternativement apparaitre et disparaitre le formulaire principal. Une case à cocher avec un texte différent serait plus approprié. Par ex. : ""Afficher / Cacher"". Mais en fin de compte, ce bouton n'est peut-être tout simplement pas utile, et le formulaire pourrait être toujours visible.","c","c","c","c"
"7","2","na","na","na","na","na"
"7","3","c","c","c","c","c"
"7","4","nc|Un changement de focus est intitié automatiquement à l'activation du bouton ""Commencer"" (id='boutt1'). Script incriminé : `document.getElementById(idtextfocus).focus();` dans la fonction `toggle_1a5div`","c","c","c","c"
"7","5","nc|Les messages d'erreur n'ont pas l'attribut role=""alert""","nc|Les messages d'erreur n'ont pas l'attribut role=""alert""","nc|Les messages d'erreur n'ont pas l'attribut role=""alert""","nc|Les messages d'erreur n'ont pas l'attribut role=""alert""","nc|Les messages d'erreur n'ont pas l'attribut role=""alert"""
"8","1","c","c","c","c","c"
"8","2","nc","nc","nc","nc","nc"
"8","3","c","c","c","c","c"
"8","4","c","c","c","c","c"
"8","5","c|Attention avec le code du formulaire ""15646-01"" peu compréhensible","c","c","c","c"
"8","6","c|Attention avec le code du formulaire ""15646-01"" peu compréhensible","c","c","c","c"
"8","7","na","na","na","na","na"
"8","8","na","na","na","na","na"
"8","9","nc|À plusieurs endroits des éléments <br> servent à espacer 2 paragraphes. CSS aurait dû être utilisé à la place. Ex. Après la phrase ""Il s'agit du type de la voie où est localisé l'adresse"".","c","c","c","c"
"8","10","na","na","na","na","na"
"9","1","nc| 2 titres h1 et des titres h2 et h3 en doublons","c","c","c","c"
"9","2","c","c","c","c","c"
"9","3","c","c","c","c","c"
"9","4","na","na","na","na","na"
"10","1","c","c","c","c","c"
"10","2","c|Notons que de nombreux textes sont dupliqués lorsque les feuilles de style sont désactivées","c","c","c","c"
"10","3","nc|Texte non représentatif de la réalité : ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement."" + texte en anglais affiché (et faux) : ""Javascript must be enabled""","nc|Texte non représentatif de la réalité : ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité : ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité : ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement.""","nc|Texte non représentatif de la réalité : ""L’accès au compte est temporairement désactivé pour maintenance. Veuillez nous excuser pour ce désagrement. Essayez ultérieurement."""
"10","4","c","c","c","c","c"
"10","5","c","c","c","c","c"
"10","6","c","c","c","c","c"
"10","7","c|Le focus sur les icones d'aide (?) affichées à droite de certains champs pourrait être rendu plus visible","c","c","c","c"
"10","8","c","c","c","c","c"
