"Thématiques","Critères","Formulaire étape 1
""Type de déclaration""","Formulaire étape 2
""Installation"" (Choix 1 – Une déclaration initiale)","Formulaire étape 3
""Activité du site""","Formulaire étape 4
""Mode d'exploitation""","Formulaire étape 5
""Pièces justificatives""","Formulaire étape 6
""Récapitulatif""","Formulaire étape 6
""Récapitulatif"" – Fin de démarche","Formulaire étape 6
""Récapitulatif"" – Confirmation"
"1","1","c","c","c","c","c","c","c","c"
"1","2","c","c","c","c","c","c","c","c"
"1","3","c","c","c","c","c","c","c","c"
"1","4","na","na","na","na","na","na","c","na"
"1","5","c","na","na","na","na","na","c","na"
"1","6","c","c","c","c","c","c","c","c"
"1","7","na","na","na","na","na","na","na","na"
"1","8","c","c","c","c","c","c","c","c"
"1","9","na","na","na","na","na","na","na","na"
"2","1","na","na","na","na","na","na","c","na"
"2","2","na","na","na","na","na","na","c","na"
"3","1","c","c","c","c","c","c","c","c"
"3","2","c","c","c","nc|Dans le tableau sous le menu ""Épandage"", lorsque l'on sélectionne ""Oui"" à ""Un épandage est-il prévu"", le texte des éléments `<input>` avec `disabled=""disabled""` ont un contraste insuffisant sur Safari (2.8:1). L'ajout de la prorpiété CSS `-webkit-text-fill-color: #414856` dans la classe `.table-dynamic .table td .form-control[disabled]` résoud le problème. Voir https://stackoverflow.com/a/55876580/5487370","c","c","c","c"
"3","3","c","c","c","c","c","c","c","c"
"4","1","na","na","na","na","na","na","na","na"
"4","2","na","na","na","na","na","na","na","na"
"4","3","na","na","na","na","na","na","na","na"
"4","4","na","na","na","na","na","na","na","na"
"4","5","na","na","na","na","na","na","na","na"
"4","6","na","na","na","na","na","na","na","na"
"4","7","na","na","na","na","na","na","na","na"
"4","8","na","na","na","na","na","na","na","na"
"4","9","na","na","na","na","na","na","na","na"
"4","10","na","na","na","na","na","na","na","na"
"4","11","na","na","na","na","na","na","na","na"
"4","12","na","na","na","na","na","na","na","na"
"4","13","na","na","na","na","na","na","na","na"
"5","1","na","na","c","c","na","na","na","na"
"5","2","na","na","c","c","na","na","na","na"
