"Thématiques","Critères","Rechercher commune","Type d'acte","Identification","Récapitulatif et envoi","Fin de démarche"
"1","1","c","c","c","c","c"
"1","2","c","c","c","c","c"
"1","3","c","c","c","c","c"
"1","4","na","na","na","na","na"
"1","5","na","na","na","na","na"
"1","6","c","c","c","c","c"
"1","7","na","na","na","na","na"
"1","8","c","c","c","c","c"
"1","9","na","na","na","na","na"
"2","1","na","na","na","na","na"
"2","2","na","na","na","na","na"
"3","1","c","c","c","c","c"
"3","2","nc|Le bouton ""Fermer"" (""X"") du message de statut n'est pas assez contrasté","nc|Le bouton ""Fermer"" (""X"") du message de statut n'est pas assez contrasté","nc|Le bouton ""Fermer"" (""X"") du message de statut n'est pas assez contrasté","nc|Le bouton ""Fermer"" (""X"") du message de statut n'est pas assez contrasté","c"
"3","3","c","c","c","c","c"
"4","1","na","na","na","na","na"
"4","2","na","na","na","na","na"
"4","3","na","na","na","na","na"
"4","4","na","na","na","na","na"
"4","5","na","na","na","na","na"
"4","6","na","na","na","na","na"
"4","7","na","na","na","na","na"
"4","8","na","na","na","na","na"
"4","9","na","na","na","na","na"
"4","10","na","na","na","na","na"
"4","11","na","na","na","na","na"
"4","12","na","na","na","na","na"
"4","13","na","na","na","na","na"
"5","1","na","na","na","na","na"
"5","2","na","na","na","na","na"
"5","3","na","na","na","na","na"
"5","4","na","na","na","na","na"
"5","5","na","na","na","na","na"
"5","6","na","na","na","na","na"
"5","7","na","na","na","na","na"
"5","8","na","na","na","na","na"
"6","1","c","c","c","c","c"
"6","2","c","c","c","c","c"
"7","1","c","c","c","c","c"
"7","2","c","c","c","c","c"
"7","3","c","c","c","c","c"
"7","4","c","c","c","c","c"
"7","5","c","c","c","c","c"
"8","1","c","c","c","c","c"
"8","2","nc|Le code source généré n'est pas valide","nc|Le code source généré n'est pas valide","nc|Le code source généré n'est pas valide","nc|Le code source généré n'est pas valide","nc|Le code source généré n'est pas valide"
"8","3","c","c","c","c","c"
"8","4","nc|La langue par défaut est ""en"" au lieu de ""fr""","nc|La langue par défaut est ""en"" au lieu de ""fr""","nc|La langue par défaut est ""en"" au lieu de ""fr""","nc|La langue par défaut est ""en"" au lieu de ""fr""","nc|La langue par défaut est ""en"" au lieu de ""fr"""
"8","5","c","c","c","c","c"
"8","6","c","c","c","c","c"
"8","7","na","na","na","na","na"
"8","8","na","na","na","na","na"
"8","9","c","c","c","c","nc|Une balise `<br>` sert uniquement à créer un espace sur le haut d'un paragraphe."
"8","10","na","na","na","na","na"
"9","1","nc|Les titres de niveau 3 sont un mélange de titre valide et d'intitulé de bouton d'aide adjacent","c","nc|Les titres de niveau 3 sont un mélange de titre valide et d'intitulé de bouton d'aide adjacent","c","c"
"9","2","c","c","c","c","c"
"9","3","c","c","c","c","c"
"9","4","na","na","na","na","na"
"10","1","c","c","c","c","c"
"10","2","c","c","c","c","c"
"10","3","c","c","c","c","c"
"10","4","c","c","c","c","c"
"10","5","c","c","c","c","c"
"10","6","c","c","c","c","c"
"10","7","c","c","c","c","c"
"10","8","c","c","c","nc|(2e écran : Envoi) L'étape en cours (""4 Récapitulatif et envoi"") n'est pas restituée aux aides techniques","nc|L'étape en cours (""4 Récapitulatif et envoi"") n'est pas restituée aux aides techniques"
"10","9","c","c","c","c","c"
"10","10","c","c","c","c","c"
"10","11","c","c","c","nc|Certains textes sont tronqués sur la gauche avec une largeur d'écran de 320px","nc|L'intitulé du lien-bouton ""Télécharger ActeEtatCivil-PDF.pdf"" est tronqué sur la droite avec une largeur d'écran de 320px"
"10","12","c","c","c","c","c"
"10","13","na","na","na","na","na"
"10","14","c","c","c","na","na"
"11","1","c","c","c","c","c"
"11","2","c","nc|Certaines étiquettes de champs de saisie sont  un mélange d'étiquette valide et d'intitulé de bouton d'aide adjacent","nc|Certaines étiquettes de champs de saisie sont  un mélange d'étiquette valide et d'intitulé de bouton d'aide adjacent","c","c"
"11","3","c","c","c","c","c"
"11","4","c","c","c","c","c"
"11","5","c","c","c","c","c"
"11","6","na","na","c","na","na"
"11","7","na","na","c","na","na"
"11","8","na","na","c","na","na"
"11","9","c","c","c","c","c"
"11","10","c","c","c","c","na"
"11","11","c","c","c","c","na"
"11","12","na","na","na","na","na"
"11","13","na","na","c","na","na"
"12","1","c","c","c","c","c"
"12","2","c","c","c","c","c"
"12","3","c","c","c","c","c"
"12","4","c","c","c","c","c"
"12","5","na","na","na","na","na"
"12","6","c","c","c","c","c"
"12","7","c","c","c","c","c"
"12","8","c","c","c","c","c"
"12","9","c","c","c","c","c"
"12","10","na","na","na","na","na"
"12","11","c","c","c","c","c"
"13","1","c","c","c","c","c"
"13","2","c","c","c","c","c"
"13","3","na","na","na","na","na"
"13","4","na","na","na","na","na"
"13","5","na","na","na","na","na"
"13","6","na","na","na","na","na"
"13","7","na","na","na","na","na"
"13","8","na","na","na","na","na"
"13","9","c","c","c","c","c"
"13","10","na","na","na","na","na"
"13","11","na","na","na","na","na"
"13","12","na","na","na","na","na"
